Region/Country/Area,,Year,Series,Value,Footnotes,Source
2,Africa,2010,GDP in current prices (millions of US dollars),1969815,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2015,GDP in current prices (millions of US dollars),2314902,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2017,GDP in current prices (millions of US dollars),2244978,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2018,GDP in current prices (millions of US dollars),2368474,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2019,GDP in current prices (millions of US dollars),2460599,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,1995,GDP per capita (US dollars),819,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2005,GDP per capita (US dollars),1233,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2010,GDP per capita (US dollars),1898,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2015,GDP per capita (US dollars),1960,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2017,GDP per capita (US dollars),1807,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2018,GDP per capita (US dollars),1859,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2019,GDP per capita (US dollars),1884,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,1995,GDP in constant 2010 prices (millions of US dollars),1032355,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2005,GDP in constant 2010 prices (millions of US dollars),1583265,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2010,GDP in constant 2010 prices (millions of US dollars),2062317,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2015,GDP in constant 2010 prices (millions of US dollars),2314902,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2017,GDP in constant 2010 prices (millions of US dollars),2434619,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2018,GDP in constant 2010 prices (millions of US dollars),2515099,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2019,GDP in constant 2010 prices (millions of US dollars),2591409,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,1995,GDP real rates of growth (percent),2.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2005,GDP real rates of growth (percent),6.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2010,GDP real rates of growth (percent),5.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2015,GDP real rates of growth (percent),2.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2017,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2018,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2019,GDP real rates of growth (percent),3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,1995,GDP in current prices (millions of US dollars),207392,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2005,GDP in current prices (millions of US dollars),373106,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2010,GDP in current prices (millions of US dollars),648783,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2015,GDP in current prices (millions of US dollars),729675,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2017,GDP in current prices (millions of US dollars),661595,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2018,GDP in current prices (millions of US dollars),666133,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2019,GDP in current prices (millions of US dollars),714511,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,1995,GDP per capita (US dollars),1285,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2005,GDP per capita (US dollars),1928,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2010,GDP per capita (US dollars),3205,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2015,GDP per capita (US dollars),3267,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2017,GDP per capita (US dollars),2849,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2018,GDP per capita (US dollars),2814,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2019,GDP per capita (US dollars),2962,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,1995,GDP in constant 2010 prices (millions of US dollars),387724,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2005,GDP in constant 2010 prices (millions of US dollars),596723,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2010,GDP in constant 2010 prices (millions of US dollars),763487,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2015,GDP in constant 2010 prices (millions of US dollars),729675,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2017,GDP in constant 2010 prices (millions of US dollars),789275,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2018,GDP in constant 2010 prices (millions of US dollars),822019,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2019,GDP in constant 2010 prices (millions of US dollars),852270,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,1995,GDP real rates of growth (percent),1.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2005,GDP real rates of growth (percent),6.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2010,GDP real rates of growth (percent),4.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2015,GDP real rates of growth (percent),1.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2017,GDP real rates of growth (percent),4.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2018,GDP real rates of growth (percent),4.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2019,GDP real rates of growth (percent),3.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,1995,GDP in current prices (millions of US dollars),379537,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2005,GDP in current prices (millions of US dollars),754960,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2010,GDP in current prices (millions of US dollars),1321032,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2015,GDP in current prices (millions of US dollars),1585227,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2017,GDP in current prices (millions of US dollars),1583383,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2018,GDP in current prices (millions of US dollars),1702341,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2019,GDP in current prices (millions of US dollars),1746088,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,1995,GDP per capita (US dollars),684,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2005,GDP per capita (US dollars),1047,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2010,GDP per capita (US dollars),1581,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2015,GDP per capita (US dollars),1656,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2017,GDP per capita (US dollars),1567,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2018,GDP per capita (US dollars),1641,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2019,GDP per capita (US dollars),1639,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,1995,GDP in constant 2010 prices (millions of US dollars),644632,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2005,GDP in constant 2010 prices (millions of US dollars),986542,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2010,GDP in constant 2010 prices (millions of US dollars),1298830,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2015,GDP in constant 2010 prices (millions of US dollars),1585227,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2017,GDP in constant 2010 prices (millions of US dollars),1645344,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2018,GDP in constant 2010 prices (millions of US dollars),1693081,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2019,GDP in constant 2010 prices (millions of US dollars),1739138,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,1995,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2005,GDP real rates of growth (percent),6.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2010,GDP real rates of growth (percent),6.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2015,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2017,GDP real rates of growth (percent),2.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2018,GDP real rates of growth (percent),2.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2019,GDP real rates of growth (percent),2.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,1995,GDP in current prices (millions of US dollars),69332,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2005,GDP in current prices (millions of US dollars),112661,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2010,GDP in current prices (millions of US dollars),217614,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2015,GDP in current prices (millions of US dollars),313147,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2017,GDP in current prices (millions of US dollars),356325,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
