Region/Country/Area,,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source,,
2,Africa,2018,Exports FOB (millions of US dollars),,,504828,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
2,Africa,2019,Exports FOB (millions of US dollars),,,491767,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
2,Africa,2020,Exports FOB (millions of US dollars),,,567007,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
2,Africa,1995,Balance imports/exports (millions of US dollars),,,-10892,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
2,Africa,2005,Balance imports/exports (millions of US dollars),,,60428,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
2,Africa,2010,Balance imports/exports (millions of US dollars),,,28159,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
2,Africa,2015,Balance imports/exports (millions of US dollars),,,-144542,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
2,Africa,2018,Balance imports/exports (millions of US dollars),,,-70932,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
2,Africa,2019,Balance imports/exports (millions of US dollars),,,-91321,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
2,Africa,2020,Balance imports/exports (millions of US dollars),,,-34393,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
15,Northern Africa,1995,Imports CIF (millions of US dollars),,,45062,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
15,Northern Africa,2005,Imports CIF (millions of US dollars),,,87571,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
15,Northern Africa,2010,Imports CIF (millions of US dollars),,,181147,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
15,Northern Africa,2015,Imports CIF (millions of US dollars),,,205560,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
15,Northern Africa,2018,Imports CIF (millions of US dollars),,,227329,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
15,Northern Africa,2019,Imports CIF (millions of US dollars),,,228304,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
15,Northern Africa,2020,Imports CIF (millions of US dollars),,,202905,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
15,Northern Africa,1995,Exports FOB (millions of US dollars),,,33043,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
15,Northern Africa,2005,Exports FOB (millions of US dollars),,,114104,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
15,Northern Africa,2010,Exports FOB (millions of US dollars),,,165544,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
15,Northern Africa,2015,Exports FOB (millions of US dollars),,,108845,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
15,Northern Africa,2018,Exports FOB (millions of US dollars),,,148735,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
15,Northern Africa,2019,Exports FOB (millions of US dollars),,,158351,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
15,Northern Africa,2020,Exports FOB (millions of US dollars),,,169375,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
15,Northern Africa,1995,Balance imports/exports (millions of US dollars),,,-12019,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
15,Northern Africa,2005,Balance imports/exports (millions of US dollars),,,26533,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
15,Northern Africa,2010,Balance imports/exports (millions of US dollars),,,-15603,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
15,Northern Africa,2015,Balance imports/exports (millions of US dollars),,,-96714,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
15,Northern Africa,2018,Balance imports/exports (millions of US dollars),,,-78594,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
15,Northern Africa,2019,Balance imports/exports (millions of US dollars),,,-69954,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
15,Northern Africa,2020,Balance imports/exports (millions of US dollars),,,-33530,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
202,Sub-Saharan Africa,1995,Imports CIF (millions of US dollars),,,69290,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
202,Sub-Saharan Africa,2005,Imports CIF (millions of US dollars),,,158657,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
202,Sub-Saharan Africa,2010,Imports CIF (millions of US dollars),,,287288,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
