Region/Country/Area,,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source,,
92,British Virgin Islands,2015,Exports FOB (millions of US dollars),G,,0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
92,British Virgin Islands,2018,Exports FOB (millions of US dollars),G,,0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
92,British Virgin Islands,2019,Exports FOB (millions of US dollars),G,,0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
92,British Virgin Islands,2020,Exports FOB (millions of US dollars),G,,0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
92,British Virgin Islands,1995,Balance imports/exports (millions of US dollars),G,,-110,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
92,British Virgin Islands,2005,Balance imports/exports (millions of US dollars),G,,-226,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
92,British Virgin Islands,2010,Balance imports/exports (millions of US dollars),G,,-313,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
92,British Virgin Islands,2015,Balance imports/exports (millions of US dollars),G,,-430,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
92,British Virgin Islands,2018,Balance imports/exports (millions of US dollars),G,,-520,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
92,British Virgin Islands,2019,Balance imports/exports (millions of US dollars),G,,-554,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
92,British Virgin Islands,2020,Balance imports/exports (millions of US dollars),G,,-505,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
96,Brunei Darussalam,1995,Imports CIF (millions of US dollars),S,,2078,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
96,Brunei Darussalam,2005,Imports CIF (millions of US dollars),S,,1447,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
96,Brunei Darussalam,2010,Imports CIF (millions of US dollars),S,,2539,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
96,Brunei Darussalam,2015,Imports CIF (millions of US dollars),S,,3229,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
96,Brunei Darussalam,2018,Imports CIF (millions of US dollars),S,,4164,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
96,Brunei Darussalam,2019,Imports CIF (millions of US dollars),S,,5103,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
96,Brunei Darussalam,2020,Imports CIF (millions of US dollars),S,,7236,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
96,Brunei Darussalam,1995,Exports FOB (millions of US dollars),S,,2379,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
96,Brunei Darussalam,2005,Exports FOB (millions of US dollars),S,,6242,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
96,Brunei Darussalam,2010,Exports FOB (millions of US dollars),S,,8908,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
96,Brunei Darussalam,2015,Exports FOB (millions of US dollars),S,,6353,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
96,Brunei Darussalam,2018,Exports FOB (millions of US dollars),S,,6574,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
96,Brunei Darussalam,2019,Exports FOB (millions of US dollars),S,,7039,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
96,Brunei Darussalam,2020,Exports FOB (millions of US dollars),S,,7113,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
96,Brunei Darussalam,1995,Balance imports/exports (millions of US dollars),S,,301,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
96,Brunei Darussalam,2005,Balance imports/exports (millions of US dollars),S,,4794,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
96,Brunei Darussalam,2010,Balance imports/exports (millions of US dollars),S,,6369,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
96,Brunei Darussalam,2015,Balance imports/exports (millions of US dollars),S,,3124,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
96,Brunei Darussalam,2018,Balance imports/exports (millions of US dollars),S,,2410,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
96,Brunei Darussalam,2019,Balance imports/exports (millions of US dollars),S,,1936,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
96,Brunei Darussalam,2020,Balance imports/exports (millions of US dollars),S,,-124,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
100,Bulgaria,1995,Imports CIF (millions of US dollars),S,,5469,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
100,Bulgaria,2005,Imports CIF (millions of US dollars),S,,18162,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
100,Bulgaria,2010,Imports CIF (millions of US dollars),S,,25360,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
100,Bulgaria,2015,Imports CIF (millions of US dollars),S,,29265,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
100,Bulgaria,2018,Imports CIF (millions of US dollars),S,,37928,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
100,Bulgaria,2019,Imports CIF (millions of US dollars),S,,37765,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
100,Bulgaria,2020,Imports CIF (millions of US dollars),S,,34880,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
100,Bulgaria,1995,Exports FOB (millions of US dollars),S,,5220,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
100,Bulgaria,2005,Exports FOB (millions of US dollars),S,,11739,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
100,Bulgaria,2010,Exports FOB (millions of US dollars),S,,20608,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
100,Bulgaria,2015,Exports FOB (millions of US dollars),S,,25779,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
100,Bulgaria,2018,Exports FOB (millions of US dollars),S,,33787,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
100,Bulgaria,2019,Exports FOB (millions of US dollars),S,,33454,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
100,Bulgaria,2020,Exports FOB (millions of US dollars),S,,31801,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
100,Bulgaria,1995,Balance imports/exports (millions of US dollars),S,,-249,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
100,Bulgaria,2005,Balance imports/exports (millions of US dollars),S,,-6423,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
100,Bulgaria,2010,Balance imports/exports (millions of US dollars),S,,-4752,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
100,Bulgaria,2015,Balance imports/exports (millions of US dollars),S,,-3486,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
100,Bulgaria,2018,Balance imports/exports (millions of US dollars),S,,-4141,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
100,Bulgaria,2019,Balance imports/exports (millions of US dollars),S,,-4311,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
100,Bulgaria,2020,Balance imports/exports (millions of US dollars),S,,-3079,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
854,Burkina Faso,1995,Imports CIF (millions of US dollars),G,,484,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
854,Burkina Faso,2005,Imports CIF (millions of US dollars),G,,1161,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
854,Burkina Faso,2010,Imports CIF (millions of US dollars),G,,2048,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
854,Burkina Faso,2015,Imports CIF (millions of US dollars),G,,2980,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
854,Burkina Faso,2018,Imports CIF (millions of US dollars),G,,4296,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
854,Burkina Faso,2019,Imports CIF (millions of US dollars),G,,4253,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
854,Burkina Faso,2020,Imports CIF (millions of US dollars),G,,4150,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
854,Burkina Faso,1995,Exports FOB (millions of US dollars),G,,171,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
854,Burkina Faso,2005,Exports FOB (millions of US dollars),G,,332,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
854,Burkina Faso,2010,Exports FOB (millions of US dollars),G,,1288,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
854,Burkina Faso,2015,Exports FOB (millions of US dollars),G,,2177,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
854,Burkina Faso,2018,Exports FOB (millions of US dollars),G,,3283,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
854,Burkina Faso,2019,Exports FOB (millions of US dollars),G,,3263,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
854,Burkina Faso,2020,Exports FOB (millions of US dollars),G,,3269,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
854,Burkina Faso,1995,Balance imports/exports (millions of US dollars),G,,-313,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
854,Burkina Faso,2005,Balance imports/exports (millions of US dollars),G,,-828,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
854,Burkina Faso,2010,Balance imports/exports (millions of US dollars),G,,-760,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
854,Burkina Faso,2015,Balance imports/exports (millions of US dollars),G,,-802,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
854,Burkina Faso,2018,Balance imports/exports (millions of US dollars),G,,-1013,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
854,Burkina Faso,2019,Balance imports/exports (millions of US dollars),G,,-990,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
854,Burkina Faso,2020,Balance imports/exports (millions of US dollars),G,,-882,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
108,Burundi,1995,Imports CIF (millions of US dollars),S,,270,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
108,Burundi,2005,Imports CIF (millions of US dollars),S,,258,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
108,Burundi,2010,Imports CIF (millions of US dollars),S,,404,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
108,Burundi,2015,Imports CIF (millions of US dollars),S,,561,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
108,Burundi,2018,Imports CIF (millions of US dollars),S,,794,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
108,Burundi,2019,Imports CIF (millions of US dollars),S,,887,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
108,Burundi,2020,Imports CIF (millions of US dollars),S,,878,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
108,Burundi,1995,Exports FOB (millions of US dollars),S,,179,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
108,Burundi,2005,Exports FOB (millions of US dollars),S,,114,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
108,Burundi,2010,Exports FOB (millions of US dollars),S,,118,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
108,Burundi,2015,Exports FOB (millions of US dollars),S,,114,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
108,Burundi,2018,Exports FOB (millions of US dollars),S,,169,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
108,Burundi,2019,Exports FOB (millions of US dollars),S,,181,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
108,Burundi,2020,Exports FOB (millions of US dollars),S,,164,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
108,Burundi,1995,Balance imports/exports (millions of US dollars),S,,-92,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
108,Burundi,2005,Balance imports/exports (millions of US dollars),S,,-144,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
108,Burundi,2010,Balance imports/exports (millions of US dollars),S,,-286,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
108,Burundi,2015,Balance imports/exports (millions of US dollars),S,,-447,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
108,Burundi,2018,Balance imports/exports (millions of US dollars),S,,-624,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
108,Burundi,2019,Balance imports/exports (millions of US dollars),S,,-706,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
108,Burundi,2020,Balance imports/exports (millions of US dollars),S,,-713,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
132,Cabo Verde,1995,Imports CIF (millions of US dollars),G,,252,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
132,Cabo Verde,2005,Imports CIF (millions of US dollars),G,,438,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
132,Cabo Verde,2010,Imports CIF (millions of US dollars),G,,731,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
132,Cabo Verde,2015,Imports CIF (millions of US dollars),G,,603,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
132,Cabo Verde,2018,Imports CIF (millions of US dollars),G,,815,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
132,Cabo Verde,2019,Imports CIF (millions of US dollars),G,,790,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
132,Cabo Verde,2020,Imports CIF (millions of US dollars),G,,727,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
132,Cabo Verde,1995,Exports FOB (millions of US dollars),G,,9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
132,Cabo Verde,2005,Exports FOB (millions of US dollars),G,,89,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
132,Cabo Verde,2010,Exports FOB (millions of US dollars),G,,220,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
132,Cabo Verde,2015,Exports FOB (millions of US dollars),G,,67,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
132,Cabo Verde,2018,Exports FOB (millions of US dollars),G,,75,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
132,Cabo Verde,2019,Exports FOB (millions of US dollars),G,,62,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
132,Cabo Verde,2020,Exports FOB (millions of US dollars),G,,53,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
132,Cabo Verde,1995,Balance imports/exports (millions of US dollars),G,,-243,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
132,Cabo Verde,2005,Balance imports/exports (millions of US dollars),G,,-349,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
132,Cabo Verde,2010,Balance imports/exports (millions of US dollars),G,,-511,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
132,Cabo Verde,2015,Balance imports/exports (millions of US dollars),G,,-537,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
132,Cabo Verde,2018,Balance imports/exports (millions of US dollars),G,,-739,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
132,Cabo Verde,2019,Balance imports/exports (millions of US dollars),G,,-728,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
132,Cabo Verde,2020,Balance imports/exports (millions of US dollars),G,,-674,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
116,Cambodia,1995,Imports CIF (millions of US dollars),S,,217,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
116,Cambodia,2005,Imports CIF (millions of US dollars),S,,2552,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
116,Cambodia,2010,Imports CIF (millions of US dollars),S,,4903,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
116,Cambodia,2015,Imports CIF (millions of US dollars),S,,10669,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
116,Cambodia,2018,Imports CIF (millions of US dollars),S,,17489,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
116,Cambodia,2019,Imports CIF (millions of US dollars),S,,20279,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
116,Cambodia,2020,Imports CIF (millions of US dollars),S,,18696,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
116,Cambodia,1995,Exports FOB (millions of US dollars),S,,76,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
116,Cambodia,2005,Exports FOB (millions of US dollars),S,,3019,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
116,Cambodia,2010,Exports FOB (millions of US dollars),S,,5590,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
116,Cambodia,2015,Exports FOB (millions of US dollars),S,,8542,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
116,Cambodia,2018,Exports FOB (millions of US dollars),S,,12700,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
116,Cambodia,2019,Exports FOB (millions of US dollars),S,,14825,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
116,Cambodia,2020,Exports FOB (millions of US dollars),S,,17543,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
116,Cambodia,1995,Balance imports/exports (millions of US dollars),S,,-142,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
116,Cambodia,2005,Balance imports/exports (millions of US dollars),S,,467,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
116,Cambodia,2010,Balance imports/exports (millions of US dollars),S,,688,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
116,Cambodia,2015,Balance imports/exports (millions of US dollars),S,,-2126,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
116,Cambodia,2018,Balance imports/exports (millions of US dollars),S,,-4789,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
116,Cambodia,2019,Balance imports/exports (millions of US dollars),S,,-5454,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
116,Cambodia,2020,Balance imports/exports (millions of US dollars),S,,-1153,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
120,Cameroon,1995,Imports CIF (millions of US dollars),S,,1079,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
120,Cameroon,2005,Imports CIF (millions of US dollars),S,,2800,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
120,Cameroon,2010,Imports CIF (millions of US dollars),S,,5133,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
120,Cameroon,2015,Imports CIF (millions of US dollars),S,,6037,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
120,Cameroon,2018,Imports CIF (millions of US dollars),S,,6012,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
120,Cameroon,2019,Imports CIF (millions of US dollars),S,,6728,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
120,Cameroon,2020,Imports CIF (millions of US dollars),S,,7452,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
120,Cameroon,1995,Exports FOB (millions of US dollars),S,,1539,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
120,Cameroon,2005,Exports FOB (millions of US dollars),S,,2849,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
120,Cameroon,2010,Exports FOB (millions of US dollars),S,,3878,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
120,Cameroon,2015,Exports FOB (millions of US dollars),S,,4053,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
120,Cameroon,2018,Exports FOB (millions of US dollars),S,,3806,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
120,Cameroon,2019,Exports FOB (millions of US dollars),S,,4088,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
120,Cameroon,2020,Exports FOB (millions of US dollars),S,,4437,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
120,Cameroon,1995,Balance imports/exports (millions of US dollars),S,,460,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
120,Cameroon,2005,Balance imports/exports (millions of US dollars),S,,49,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
120,Cameroon,2010,Balance imports/exports (millions of US dollars),S,,-1255,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
120,Cameroon,2015,Balance imports/exports (millions of US dollars),S,,-1984,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
120,Cameroon,2018,Balance imports/exports (millions of US dollars),S,,-2206,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
120,Cameroon,2019,Balance imports/exports (millions of US dollars),S,,-2640,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
120,Cameroon,2020,Balance imports/exports (millions of US dollars),S,,-3014,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
124,Canada,1995,Imports CIF (millions of US dollars),G,,164371,Imports FOB.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
124,Canada,2005,Imports CIF (millions of US dollars),G,,314444,Imports FOB.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
124,Canada,2010,Imports CIF (millions of US dollars),G,,392109,Imports FOB.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
