Region/Country/Area,,Year,Series,Tourism arrivals series type,Tourism arrivals series type footnote,Value,Footnotes,Source,,
20,Andorra,2018,Tourist/visitor arrivals (thousands),TF,,3042,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
24,Angola,1995,Tourist/visitor arrivals (thousands),TF,,9,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
24,Angola,2005,Tourist/visitor arrivals (thousands),TF,,210,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
24,Angola,2010,Tourist/visitor arrivals (thousands),TF,,425,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
24,Angola,2017,Tourist/visitor arrivals (thousands),TF,,261,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
24,Angola,2018,Tourist/visitor arrivals (thousands),TF,,218,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
24,Angola,2019,Tourist/visitor arrivals (thousands),TF,,218,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
24,Angola,1995,Tourism expenditure (millions of US dollars),,,27,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
24,Angola,2005,Tourism expenditure (millions of US dollars),,,103,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
24,Angola,2010,Tourism expenditure (millions of US dollars),,,726,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
24,Angola,2017,Tourism expenditure (millions of US dollars),,,884,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
24,Angola,2018,Tourism expenditure (millions of US dollars),,,557,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
24,Angola,2019,Tourism expenditure (millions of US dollars),,,395,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
660,Anguilla,1995,Tourist/visitor arrivals (thousands),TF,,39,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
660,Anguilla,2005,Tourist/visitor arrivals (thousands),TF,,62,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
660,Anguilla,2010,Tourist/visitor arrivals (thousands),TF,,62,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
660,Anguilla,2017,Tourist/visitor arrivals (thousands),TF,,68,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
660,Anguilla,2018,Tourist/visitor arrivals (thousands),TF,,55,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
660,Anguilla,2019,Tourist/visitor arrivals (thousands),TF,,95,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
660,Anguilla,1995,Tourism expenditure (millions of US dollars),,,50,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
660,Anguilla,2005,Tourism expenditure (millions of US dollars),,,86,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
660,Anguilla,2010,Tourism expenditure (millions of US dollars),,,99,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
660,Anguilla,2017,Tourism expenditure (millions of US dollars),,,141,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
660,Anguilla,2018,Tourism expenditure (millions of US dollars),,,102,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
28,Antigua and Barbuda,1995,Tourist/visitor arrivals (thousands),TF,,220,Excluding nationals residing abroad.,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",
28,Antigua and Barbuda,2005,Tourist/visitor arrivals (thousands),TF,,245,Excluding nationals residing abroad.,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",
28,Antigua and Barbuda,2010,Tourist/visitor arrivals (thousands),TF,,230,Excluding nationals residing abroad.,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",
28,Antigua and Barbuda,2017,Tourist/visitor arrivals (thousands),TF,,247,Excluding nationals residing abroad.,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",
28,Antigua and Barbuda,2018,Tourist/visitor arrivals (thousands),TF,,269,Excluding nationals residing abroad.,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",
28,Antigua and Barbuda,1995,Tourism expenditure (millions of US dollars),,,247,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
28,Antigua and Barbuda,2005,Tourism expenditure (millions of US dollars),,,309,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
28,Antigua and Barbuda,2010,Tourism expenditure (millions of US dollars),,,298,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
28,Antigua and Barbuda,2017,Tourism expenditure (millions of US dollars),,,737,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
28,Antigua and Barbuda,2018,Tourism expenditure (millions of US dollars),,,881,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
32,Argentina,1995,Tourist/visitor arrivals (thousands),TF,,2289,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
32,Argentina,2005,Tourist/visitor arrivals (thousands),TF,,3823,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
32,Argentina,2010,Tourist/visitor arrivals (thousands),TF,,6800,Break in the time series.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
32,Argentina,2017,Tourist/visitor arrivals (thousands),TF,,6711,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
32,Argentina,2018,Tourist/visitor arrivals (thousands),TF,,6942,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
32,Argentina,1995,Tourism expenditure (millions of US dollars),,,2550,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
32,Argentina,2005,Tourism expenditure (millions of US dollars),,,3209,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
32,Argentina,2010,Tourism expenditure (millions of US dollars),,,5605,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
32,Argentina,2017,Tourism expenditure (millions of US dollars),,,5830,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
32,Argentina,2018,Tourism expenditure (millions of US dollars),,,5999,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
32,Argentina,2019,Tourism expenditure (millions of US dollars),,,5654,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
51,Armenia,1995,Tourist/visitor arrivals (thousands),TF,,12,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
51,Armenia,2005,Tourist/visitor arrivals (thousands),TF,,319,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
51,Armenia,2010,Tourist/visitor arrivals (thousands),TF,,684,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
51,Armenia,2017,Tourist/visitor arrivals (thousands),TF,,1495,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
51,Armenia,2018,Tourist/visitor arrivals (thousands),TF,,1652,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
51,Armenia,1995,Tourism expenditure (millions of US dollars),,,14,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
51,Armenia,2005,Tourism expenditure (millions of US dollars),,,243,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
51,Armenia,2010,Tourism expenditure (millions of US dollars),,,694,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
51,Armenia,2017,Tourism expenditure (millions of US dollars),,,1224,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
51,Armenia,2018,Tourism expenditure (millions of US dollars),,,1358,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
51,Armenia,2019,Tourism expenditure (millions of US dollars),,,1553,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
533,Aruba,1995,Tourist/visitor arrivals (thousands),TF,,619,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
533,Aruba,2005,Tourist/visitor arrivals (thousands),TF,,733,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
