Region/Country/Area,,Year,Series,Value,Footnotes,Source,
2,Africa,1985,Net official development assistance received: Bilateral  (millions of US dollars),10076,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
2,Africa,1995,Net official development assistance received: Bilateral  (millions of US dollars),16828,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
2,Africa,2005,Net official development assistance received: Bilateral  (millions of US dollars),24081,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
2,Africa,2010,Net official development assistance received: Bilateral  (millions of US dollars),30087,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
2,Africa,2015,Net official development assistance received: Bilateral  (millions of US dollars),33960,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
2,Africa,2017,Net official development assistance received: Bilateral  (millions of US dollars),34376,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
2,Africa,2018,Net official development assistance received: Bilateral  (millions of US dollars),35079,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
2,Africa,2019,Net official development assistance received: Bilateral  (millions of US dollars),37752,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
2,Africa,1985,Net official development assistance received: Multilateral (millions of US dollars),2247,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
2,Africa,1995,Net official development assistance received: Multilateral (millions of US dollars),5015,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
2,Africa,2005,Net official development assistance received: Multilateral (millions of US dollars),11740,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
