Region/Country/Area,,Year,Series,Value,Footnotes,Source,
120,Cameroon,2005,Net official development assistance received: Total (millions of US dollars),417,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
120,Cameroon,2010,Net official development assistance received: Total (millions of US dollars),540,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
120,Cameroon,2015,Net official development assistance received: Total (millions of US dollars),664,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
120,Cameroon,2017,Net official development assistance received: Total (millions of US dollars),1217,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
120,Cameroon,2018,Net official development assistance received: Total (millions of US dollars),1165,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
120,Cameroon,2019,Net official development assistance received: Total (millions of US dollars),1297,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
120,Cameroon,1985,Net official development assistance received: Total (as % GNI),1.9,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
120,Cameroon,1995,Net official development assistance received: Total (as % GNI),4.9,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
120,Cameroon,2005,Net official development assistance received: Total (as % GNI),2.4,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
120,Cameroon,2010,Net official development assistance received: Total (as % GNI),2.1,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
120,Cameroon,2015,Net official development assistance received: Total (as % GNI),2.2,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
120,Cameroon,2017,Net official development assistance received: Total (as % GNI),3.5,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
120,Cameroon,2018,Net official development assistance received: Total (as % GNI),3.1,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
120,Cameroon,2019,Net official development assistance received: Total (as % GNI),3.4,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
136,Cayman Islands,1985,Net official development assistance received: Bilateral  (millions of US dollars),0,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
136,Cayman Islands,1995,Net official development assistance received: Bilateral  (millions of US dollars),-1,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
136,Cayman Islands,1985,Net official development assistance received: Multilateral (millions of US dollars),0,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
136,Cayman Islands,1995,Net official development assistance received: Multilateral (millions of US dollars),0,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
136,Cayman Islands,1985,Net official development assistance received: Total (millions of US dollars),0,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
136,Cayman Islands,1995,Net official development assistance received: Total (millions of US dollars),-1,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,1985,Net official development assistance received: Bilateral  (millions of US dollars),73,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,1995,Net official development assistance received: Bilateral  (millions of US dollars),126,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,2005,Net official development assistance received: Bilateral  (millions of US dollars),37,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,2010,Net official development assistance received: Bilateral  (millions of US dollars),78,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,2015,Net official development assistance received: Bilateral  (millions of US dollars),295,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,2017,Net official development assistance received: Bilateral  (millions of US dollars),260,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,2018,Net official development assistance received: Bilateral  (millions of US dollars),339,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,2019,Net official development assistance received: Bilateral  (millions of US dollars),407,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,1985,Net official development assistance received: Multilateral (millions of US dollars),31,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,1995,Net official development assistance received: Multilateral (millions of US dollars),42,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,2005,Net official development assistance received: Multilateral (millions of US dollars),52,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,2010,Net official development assistance received: Multilateral (millions of US dollars),183,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,2015,Net official development assistance received: Multilateral (millions of US dollars),192,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,2017,Net official development assistance received: Multilateral (millions of US dollars),252,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,2018,Net official development assistance received: Multilateral (millions of US dollars),317,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,2019,Net official development assistance received: Multilateral (millions of US dollars),282,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,1985,Net official development assistance received: Total (millions of US dollars),104,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,1995,Net official development assistance received: Total (millions of US dollars),168,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,2005,Net official development assistance received: Total (millions of US dollars),89,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,2010,Net official development assistance received: Total (millions of US dollars),261,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,2015,Net official development assistance received: Total (millions of US dollars),487,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,2017,Net official development assistance received: Total (millions of US dollars),512,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,2018,Net official development assistance received: Total (millions of US dollars),656,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,2019,Net official development assistance received: Total (millions of US dollars),689,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,1985,Net official development assistance received: Total (as % GNI),12.1,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,1995,Net official development assistance received: Total (as % GNI),15.3,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,2005,Net official development assistance received: Total (as % GNI),6.7,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,2010,Net official development assistance received: Total (as % GNI),12.1,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,2015,Net official development assistance received: Total (as % GNI),28.4,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,2017,Net official development assistance received: Total (as % GNI),23.5,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,2018,Net official development assistance received: Total (as % GNI),27.5,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
140,Central African Republic,2019,Net official development assistance received: Total (as % GNI),28.9,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,1985,Net official development assistance received: Bilateral  (millions of US dollars),118,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,1995,Net official development assistance received: Bilateral  (millions of US dollars),165,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,2005,Net official development assistance received: Bilateral  (millions of US dollars),166,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,2010,Net official development assistance received: Bilateral  (millions of US dollars),275,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,2015,Net official development assistance received: Bilateral  (millions of US dollars),1,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,2017,Net official development assistance received: Bilateral  (millions of US dollars),323,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,2018,Net official development assistance received: Bilateral  (millions of US dollars),485,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,2019,Net official development assistance received: Bilateral  (millions of US dollars),396,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,1985,Net official development assistance received: Multilateral (millions of US dollars),61,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,1995,Net official development assistance received: Multilateral (millions of US dollars),70,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,2005,Net official development assistance received: Multilateral (millions of US dollars),221,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,2010,Net official development assistance received: Multilateral (millions of US dollars),215,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,2015,Net official development assistance received: Multilateral (millions of US dollars),606,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,2017,Net official development assistance received: Multilateral (millions of US dollars),326,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,2018,Net official development assistance received: Multilateral (millions of US dollars),390,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,2019,Net official development assistance received: Multilateral (millions of US dollars),246,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,1985,Net official development assistance received: Total (millions of US dollars),179,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,1995,Net official development assistance received: Total (millions of US dollars),235,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,2005,Net official development assistance received: Total (millions of US dollars),386,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,2010,Net official development assistance received: Total (millions of US dollars),490,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,2015,Net official development assistance received: Total (millions of US dollars),606,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,2017,Net official development assistance received: Total (millions of US dollars),649,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,2018,Net official development assistance received: Total (millions of US dollars),875,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,2019,Net official development assistance received: Total (millions of US dollars),642,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,1985,Net official development assistance received: Total (as % GNI),17.4,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,1995,Net official development assistance received: Total (as % GNI),16.3,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,2005,Net official development assistance received: Total (as % GNI),6.9,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,2010,Net official development assistance received: Total (as % GNI),4.8,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,2015,Net official development assistance received: Total (as % GNI),5.7,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,2017,Net official development assistance received: Total (as % GNI),6.6,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,2018,Net official development assistance received: Total (as % GNI),7.9,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
148,Chad,2019,Net official development assistance received: Total (as % GNI),5.8,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
152,Chile,1985,Net official development assistance received: Bilateral  (millions of US dollars),46,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
152,Chile,1995,Net official development assistance received: Bilateral  (millions of US dollars),151,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
152,Chile,2005,Net official development assistance received: Bilateral  (millions of US dollars),88,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
152,Chile,2010,Net official development assistance received: Bilateral  (millions of US dollars),138,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
152,Chile,2015,Net official development assistance received: Bilateral  (millions of US dollars),36,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
152,Chile,2017,Net official development assistance received: Bilateral  (millions of US dollars),49,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
152,Chile,1985,Net official development assistance received: Multilateral (millions of US dollars),3,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
152,Chile,1995,Net official development assistance received: Multilateral (millions of US dollars),9,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
152,Chile,2005,Net official development assistance received: Multilateral (millions of US dollars),83,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
152,Chile,2010,Net official development assistance received: Multilateral (millions of US dollars),44,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
152,Chile,2015,Net official development assistance received: Multilateral (millions of US dollars),18,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
152,Chile,2017,Net official development assistance received: Multilateral (millions of US dollars),22,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
152,Chile,1985,Net official development assistance received: Total (millions of US dollars),49,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
152,Chile,1995,Net official development assistance received: Total (millions of US dollars),161,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
152,Chile,2005,Net official development assistance received: Total (millions of US dollars),171,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
152,Chile,2010,Net official development assistance received: Total (millions of US dollars),182,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
152,Chile,2015,Net official development assistance received: Total (millions of US dollars),54,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
152,Chile,2017,Net official development assistance received: Total (millions of US dollars),70,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
152,Chile,1985,Net official development assistance received: Total (as % GNI),0.3,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
152,Chile,1995,Net official development assistance received: Total (as % GNI),0.2,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
152,Chile,2005,Net official development assistance received: Total (as % GNI),0.2,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
152,Chile,2010,Net official development assistance received: Total (as % GNI),0.1,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
152,Chile,2015,Net official development assistance received: Total (as % GNI),0,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
152,Chile,2017,Net official development assistance received: Total (as % GNI),0,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
156,China,1985,Net official development assistance received: Bilateral  (millions of US dollars),697,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
156,China,1995,Net official development assistance received: Bilateral  (millions of US dollars),2543,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
156,China,2005,Net official development assistance received: Bilateral  (millions of US dollars),1470,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
156,China,2010,Net official development assistance received: Bilateral  (millions of US dollars),344,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
156,China,2015,Net official development assistance received: Bilateral  (millions of US dollars),-558,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
156,China,2017,Net official development assistance received: Bilateral  (millions of US dollars),-1143,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
156,China,2018,Net official development assistance received: Bilateral  (millions of US dollars),-922,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
156,China,2019,Net official development assistance received: Bilateral  (millions of US dollars),-925,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
156,China,1985,Net official development assistance received: Multilateral (millions of US dollars),242,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
156,China,1995,Net official development assistance received: Multilateral (millions of US dollars),921,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
156,China,2005,Net official development assistance received: Multilateral (millions of US dollars),329,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
156,China,2010,Net official development assistance received: Multilateral (millions of US dollars),327,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
156,China,2015,Net official development assistance received: Multilateral (millions of US dollars),252,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
156,China,2017,Net official development assistance received: Multilateral (millions of US dollars),153,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
156,China,2018,Net official development assistance received: Multilateral (millions of US dollars),216,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
156,China,2019,Net official development assistance received: Multilateral (millions of US dollars),316,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
156,China,1985,Net official development assistance received: Total (millions of US dollars),939,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
156,China,1995,Net official development assistance received: Total (millions of US dollars),3464,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
156,China,2005,Net official development assistance received: Total (millions of US dollars),1798,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
156,China,2010,Net official development assistance received: Total (millions of US dollars),672,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
156,China,2015,Net official development assistance received: Total (millions of US dollars),-306,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
156,China,2017,Net official development assistance received: Total (millions of US dollars),-990,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
156,China,2018,Net official development assistance received: Total (millions of US dollars),-705,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
156,China,2019,Net official development assistance received: Total (millions of US dollars),-609,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
