Region/Country/Area,,Year,Series,Value,Footnotes,Source
652,Saint Barth�lemy,2020,Important sites for terrestrial biodiversity protected (% of total sites protected),51.7,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2021."
654,Saint Helena,2005,Land area (thousand hectares),39,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
654,Saint Helena,2005,Arable land (thousand hectares),4,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
654,Saint Helena,2005,Forest cover (thousand hectares),2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
654,Saint Helena,2005,Arable land (% of total land area),10.3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
654,Saint Helena,2005,Forest cover (% of total land area),5.1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
654,Saint Helena,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),15.38,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2021."
654,Saint Helena,2010,Land area (thousand hectares),39,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
654,Saint Helena,2010,Arable land (thousand hectares),4,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
654,Saint Helena,2010,Forest cover (thousand hectares),2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
654,Saint Helena,2010,Arable land (% of total land area),10.3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
654,Saint Helena,2010,Forest cover (% of total land area),5.1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
654,Saint Helena,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),15.38,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2021."
654,Saint Helena,2018,Land area (thousand hectares),39,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
654,Saint Helena,2018,Arable land (thousand hectares),4,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
654,Saint Helena,2018,Forest cover (thousand hectares),2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
654,Saint Helena,2018,Arable land (% of total land area),10.3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
654,Saint Helena,2018,Forest cover (% of total land area),5.1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
654,Saint Helena,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),38.46,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2021."
654,Saint Helena,2020,Important sites for terrestrial biodiversity protected (% of total sites protected),38.46,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2021."
659,Saint Kitts and Nevis,2005,Land area (thousand hectares),26,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
659,Saint Kitts and Nevis,2005,Arable land (thousand hectares),4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
659,Saint Kitts and Nevis,2005,Permanent crops (thousand hectares),0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
659,Saint Kitts and Nevis,2005,Forest cover (thousand hectares),11,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
659,Saint Kitts and Nevis,2005,Arable land (% of total land area),15.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
659,Saint Kitts and Nevis,2005,Permanent crops (% of total land area),0.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
659,Saint Kitts and Nevis,2005,Forest cover (% of total land area),42.3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
