"Country or Area","Year","Value"
"Bulgaria","2018","57281.7702870652"
"Bulgaria","2017","61148.4684984676"
"Bulgaria","2016","58800.9076199314"
"Bulgaria","2015","61338.3514538535"
"Bulgaria","2014","57987.867349257"
"Bulgaria","2013","54893.9153523399"
"Bulgaria","2012","60087.1208906686"
"Bulgaria","2011","65071.4261266305"
"Bulgaria","2010","59796.3691966106"
"Bulgaria","2009","57163.9737098695"
"Bulgaria","2008","65996.5865045357"
"Bulgaria","2007","67307.9366531663"
"Bulgaria","2006","63377.0995397898"
"Bulgaria","2005","62714.8675186515"
"Bulgaria","2004","62109.4951199914"
"Bulgaria","2003","62940.276963465"
"Bulgaria","2002","58130.2283551589"
"Bulgaria","2001","60776.8763525571"
"Bulgaria","2000","57864.2728863735"
"Bulgaria","1999","58817.0415349403"
"Bulgaria","1998","65922.1944987328"
"Bulgaria","1997","70028.7627042527"
"Bulgaria","1996","73249.268498804"
"Bulgaria","1995","72908.9132896351"
"Bulgaria","1994","71519.5445227144"
"Bulgaria","1993","75610.6381342526"
"Bulgaria","1992","76218.3749029108"
"Bulgaria","1991","81795.8176676072"
"Bulgaria","1990","99978.07998764"
"Canada","2019","730244.943248134"
"Canada","2018","728475.889658144"
"Canada","2017","716092.013142115"
"Canada","2016","706933.907647331"
"Canada","2015","723096.017765438"
"Canada","2014","722557.670559529"
"Canada","2013","725371.842968683"
"Canada","2012","717172.389555361"
"Canada","2011","714078.510814236"
"Canada","2010","702802.746934378"
"Canada","2009","693597.90384527"
"Canada","2008","735692.852072513"
"Canada","2007","751661.271028039"
"Canada","2006","730101.935176223"
"Canada","2005","738718.60233443"
"Canada","2004","745919.782435955"
"Canada","2003","744831.88683637"
"Canada","2002","726555.183452183"
"Canada","2001","722935.012117626"
"Canada","2000","733511.337261223"
"Canada","1999","709600.924294885"
"Canada","1998","696901.518588772"
"Canada","1997","691195.367182711"
"Canada","1996","678714.488508001"
"Canada","1995","656298.717315296"
"Canada","1994","638000.470335979"
"Canada","1993","616798.394318608"
"Canada","1992","613598.518533251"
"Canada","1991","595776.72634263"
"Canada","1990","601523.693127531"
"Croatia","2019","23605.0206025852"
"Croatia","2018","23536.2831298933"
"Croatia","2017","24737.5591073121"
"Croatia","2016","23999.9175624634"
"Croatia","2015","23911.9195759801"
"Croatia","2014","23475.5394416999"
"Croatia","2013","24330.5970820124"
"Croatia","2012","25612.6355108699"
"Croatia","2011","27429.5982319884"
"Croatia","2010","27752.9650811428"
"Croatia","2009","28151.1220717707"
"Croatia","2008","30506.1179030094"
"Croatia","2007","31485.7395131563"
"Croatia","2006","30081.352662498"
"Croatia","2005","29730.723699955"
"Croatia","2004","29263.6399536718"
"Croatia","2003","29224.1363551862"
"Croatia","2002","27793.2602147408"
"Croatia","2001","26739.4426866974"
"Croatia","2000","25563.4570524748"
"Croatia","1999","25824.043007964"
"Croatia","1998","24509.4818173308"
"Croatia","1997","24398.9243448524"
"Croatia","1996","22994.8225912317"
"Croatia","1995","22487.3009877291"
"Croatia","1994","21818.7180475938"
"Croatia","1993","22721.9975134191"
"Croatia","1992","22771.964935609"
"Croatia","1991","24692.0892471798"
"Croatia","1990","31387.2927938537"
"Cyprus","2019","8841.5268212536"
"Cyprus","2018","8811.42963097691"
"Cyprus","2017","8969.68999752883"
"Cyprus","2016","8783.93381911571"
"Cyprus","2015","8336.76576421543"
"Cyprus","2014","8294.1752724343"
"Cyprus","2013","7918.77723419979"
"Cyprus","2012","8617.64893310145"
"Cyprus","2011","9150.40538318626"
"Cyprus","2010","9444.39057630845"
"Cyprus","2009","9772.66436431865"
"Cyprus","2008","10006.336167884"
"Cyprus","2007","9789.57881355422"
"Cyprus","2006","9460.7939181809"
"Cyprus","2005","9205.20490124665"
"Cyprus","2004","9078.74342537113"
"Cyprus","2003","8878.86296214153"
"Cyprus","2002","8485.65898138455"
"Cyprus","2001","8257.04671347552"
"Cyprus","2000","8308.58650703214"
"Cyprus","1999","8035.06672564005"
"Cyprus","1998","7764.26635191912"
"Cyprus","1997","7430.3298605577"
"Cyprus","1996","7335.59302312201"
"Cyprus","1995","6985.57880667843"
"Cyprus","1994","7049.13393013146"
"Cyprus","1993","6798.93144583693"
"Cyprus","1992","6521.86809355297"
"Cyprus","1991","6072.43875553366"
"Cyprus","1990","5571.02632041962"
"Czechia","2019","122638.506242094"
"Czechia","2018","128554.623720078"
"Czechia","2017","130460.077289458"
"Czechia","2016","129584.954481715"
"Czechia","2015","127972.207003802"
"Czechia","2014","126563.240250952"
"Czechia","2013","128691.889818678"
"Czechia","2012","134138.667419058"
"Czechia","2011","138068.888364819"
"Czechia","2010","139605.899313946"
"Czechia","2009","136853.377282082"
"Czechia","2008","145889.001728118"
"Czechia","2007","150776.58947296"
"Czechia","2006","148953.578003138"
"Czechia","2005","147727.535305402"
"Czechia","2004","149763.234583104"
"Czechia","2003","148734.467925549"
"Czechia","2002","145657.977465012"
"Czechia","2001","149299.899157948"
"Czechia","2000","149272.310792286"
"Czechia","1999","139029.962460234"
"Czechia","1998","148601.596742279"
"Czechia","1997","154763.378711308"
"Czechia","1996","159347.265855916"
"Czechia","1995","156329.521851339"
"Czechia","1994","157203.955238519"
"Czechia","1993","164722.197355732"
"Czechia","1992","172347.239688088"
"Czechia","1991","178844.048230941"
"Czechia","1990","197071.821788786"
"Denmark","2019","45812.179459855"
"Denmark","2018","49621.2994881753"
"Denmark","2017","49648.8801740838"
"Denmark","2016","51764.3554262119"
"Denmark","2015","49737.6460694143"
"Denmark","2014","52332.1464874228"
"Denmark","2013","56560.8096621533"
"Denmark","2012","54837.6837385555"
"Denmark","2011","59429.582384864"
"Denmark","2010","64664.108715712"
"Denmark","2009","64331.3021687128"
"Denmark","2008","67137.4345702158"
"Denmark","2007","70731.516127565"
"Denmark","2006","75303.3961759929"
"Denmark","2005","67601.0741722018"
"Denmark","2004","71987.693407411"
"Denmark","2003","77956.0671649605"
"Denmark","2002","72887.1145417518"
"Denmark","2001","73469.7625244041"
"Denmark","2000","71748.1446290859"
"Denmark","1999","76048.6529794397"
"Denmark","1998","78535.8252660721"
"Denmark","1997","82562.0089135492"
"Denmark","1996","92007.5175572495"
"Denmark","1995","78838.2831024627"
"Denmark","1994","81785.9583924479"
"Denmark","1993","77874.6465046519"
"Denmark","1992","75740.1744706135"
"Denmark","1991","81729.4430637087"
"Denmark","1990","71097.6599934274"
"Estonia","2019","14699.1167925098"
"Estonia","2018","20206.3619707661"
"Estonia","2017","21066.4370208885"
"Estonia","2016","19808.9313219675"
"Estonia","2015","18139.3223936855"
"Estonia","2014","21176.3791441967"
"Estonia","2013","22019.839097722"
"Estonia","2012","20114.8815704256"
"Estonia","2011","21286.169941343"
"Estonia","2010","21218.1907484539"
"Estonia","2009","16661.5603130984"
"Estonia","2008","20083.6586929028"
"Estonia","2007","22206.8511101323"
"Estonia","2006","18598.8822120019"
"Estonia","2005","19257.0806699491"
"Estonia","2004","19482.3225954487"
"Estonia","2003","19284.1052807877"
"Estonia","2002","17342.0665736773"
"Estonia","2001","17933.8829465653"
"Estonia","2000","17495.8677997206"
"Estonia","1999","17850.0873879502"
"Estonia","1998","19021.4401434201"
"Estonia","1997","20759.0715225669"
"Estonia","1996","21180.7121625382"
"Estonia","1995","20273.7734766556"
"Estonia","1994","22223.2737325331"
"Estonia","1993","21714.3013413804"
"Estonia","1992","27159.7900092495"
"Estonia","1991","37099.9808509055"
"Estonia","1990","41045.4903233418"
"European Union","2019","4057594.5675443"
"European Union","2018","4223100.17686049"
"European Union","2017","4317624.81434793"
"European Union","2016","4302752.66428563"
"European Union","2015","4325015.40788473"
"European Union","2014","4293697.11786629"
"European Union","2013","4471235.91879046"
"European Union","2012","4568546.26717937"
"European Union","2011","4626768.70590503"
"European Union","2010","4779612.47241208"
"European Union","2009","4675074.81008553"
"European Union","2008","5046971.79235343"
"European Union","2007","5164853.02477198"
"European Union","2006","5215586.08846947"
"European Union","2005","5226495.34308271"
"European Union","2004","5262043.65098579"
"European Union","2003","5260743.78437683"
"European Union","2002","5172149.06387763"
"European Union","2001","5206084.13190229"
"European Union","2000","5155594.61400641"
"European Union","1999","5166089.87273936"
"European Union","1998","5271946.120334"
"European Union","1997","5312368.26156098"
"European Union","1996","5408864.70162113"
"European Union","1995","5294873.93622865"
"European Union","1994","5249835.76092945"
"European Union","1993","5285472.73122093"
"European Union","1992","5385811.9858009"
"European Union","1991","5554573.04761342"
"European Union","1990","5657987.34825938"
"Finland","2019","53021.2465565849"
"Finland","2018","56281.8198132545"
"Finland","2017","55230.1806608954"
"Finland","2016","58007.0030378331"
"Finland","2015","55087.2773401857"
"Finland","2014","58659.7581540208"
"Finland","2013","62797.2691077513"
"Finland","2012","62402.3100763527"
"Finland","2011","67876.6341132193"
"Finland","2010","75621.6317498596"
"Finland","2009","67828.4119451963"
"Finland","2008","71465.3713386673"
"Finland","2007","79574.3610225326"
"Finland","2006","81228.1814794622"
"Finland","2005","69851.3808562471"
"Finland","2004","81850.1262939211"
"Finland","2003","85538.0706954333"
"Finland","2002","77917.810461647"
"Finland","2001","75489.9489808039"
"Finland","2000","70162.5914691146"
"Finland","1999","72039.2845398846"
"Finland","1998","72656.1779262031"
"Finland","1997","76353.4044179946"
"Finland","1996","77655.5890899565"
"Finland","1995","71663.0029860441"
"Finland","1994","75330.9030260943"
"Finland","1993","69802.059728087"
"Finland","1992","67537.1671613365"
"Finland","1991","68976.8335019182"
"Finland","1990","71075.0144648247"
"France","2019","442984.667674341"
"France","2018","452034.455626853"
"France","2017","470564.31569997"
"France","2016","467059.995231421"
"France","2015","464205.673045593"
"France","2014","461188.525018842"
"France","2013","491502.989072437"
"France","2012","490286.174191654"
"France","2011","488902.16306161"
"France","2010","513461.778505387"
"France","2009","506423.663040156"
"France","2008","528370.732714681"
"France","2007","535685.045068243"
"France","2006","545436.420615563"
"France","2005","555961.773835276"
"France","2004","554919.87761604"
"France","2003","556025.604052892"
"France","2002","551773.934632645"
"France","2001","557716.368109649"
"France","2000","552419.157885826"
"France","1999","558542.131299926"
"France","1998","564794.561825737"
"France","1997","551315.861916514"
"France","1996","558535.534761894"
"France","1995","540263.492333983"
"France","1994","534183.166341526"
"France","1993","541994.082932569"
"France","1992","562724.815275215"
"France","1991","573267.011023388"
"France","1990","547127.831986598"
"Germany","2019","809798.537282353"
"Germany","2018","855890.412910832"
"Germany","2017","892075.66710076"
"Germany","2016","907967.905999177"
"Germany","2015","904261.811453189"
"Germany","2014","901255.144477455"
"Germany","2013","940419.539218979"
"Germany","2012","923342.02699829"
"Germany","2011","917273.598894428"
"Germany","2010","941805.335781226"
"Germany","2009","908688.445455234"
"Germany","2008","974780.346588238"
"Germany","2007","973768.627241355"
"Germany","2006","999354.674139974"
"Germany","2005","992529.514621217"
"Germany","2004","1017525.74836855"
"Germany","2003","1034137.57553172"
"Germany","2002","1037234.57130344"
"Germany","2001","1058745.05928286"
"Germany","2000","1042612.08712455"
"Germany","1999","1044927.44370999"
"Germany","1998","1078775.6319311"
"Germany","1997","1103880.94494761"
"Germany","1996","1138786.1367442"
"Germany","1995","1120555.24774434"
"Germany","1994","1124864.86239123"
"Germany","1993","1142845.26593059"
"Germany","1992","1152179.82416095"
"Germany","1991","1202060.54602784"
"Germany","1990","1248576.91888549"
"Greece","2019","85630.943321565"
"Greece","2018","92308.3450833137"
"Greece","2017","95600.9925177928"
"Greece","2016","91821.8364386087"
"Greece","2015","95463.9794722372"
"Greece","2014","99257.806176378"
"Greece","2013","102684.378637701"
"Greece","2012","112305.519418642"
"Greece","2011","115571.725426355"
"Greece","2010","118500.037686487"
"Greece","2009","124619.085138415"
"Greece","2008","131825.164273257"
"Greece","2007","135149.005694812"
"Greece","2006","132517.990674183"
"Greece","2005","136423.686442407"
"Greece","2004","131960.687760924"
"Greece","2003","131279.631419172"
"Greece","2002","127540.100962126"
"Greece","2001","127524.658720443"
"Greece","2000","126470.876460863"
"Greece","1999","123112.81009285"
"Greece","1998","122954.803901481"
"Greece","1997","117357.197103652"
"Greece","1996","112456.891725954"
"Greece","1995","109310.876969186"
"Greece","1994","106975.033417777"
"Greece","1993","104188.433428032"
"Greece","1992","104588.354102657"
"Greece","1991","103344.245854441"
"Greece","1990","103289.457178696"
"Hungary","2019","64433.168212873"
"Hungary","2018","64735.4007871851"
"Hungary","2017","64716.4161787486"
"Hungary","2016","62258.5904987339"
"Hungary","2015","61516.669922448"
"Hungary","2014","58407.7216399419"
"Hungary","2013","58068.1805736138"
"Hungary","2012","60957.5058025586"
"Hungary","2011","64354.1367949513"
"Hungary","2010","66056.5823161325"
"Hungary","2009","65402.8334791118"
"Hungary","2008","71584.0082015639"
"Hungary","2007","73725.5431160588"
"Hungary","2006","75506.6517574744"
"Hungary","2005","76717.5556328448"
"Hungary","2004","76960.8859457546"
"Hungary","2003","78042.7728622823"
"Hungary","2002","75137.6211286112"
"Hungary","2001","76856.8479339153"
"Hungary","2000","74916.7340461961"
"Hungary","1999","77819.9795936181"
"Hungary","1998","77397.3173221325"
"Hungary","1997","78006.7850629036"
"Hungary","1996","79547.5396253384"
"Hungary","1995","77193.2499122808"
"Hungary","1994","78422.0911555662"
"Hungary","1993","79352.6557595713"
"Hungary","1992","78141.7743276547"
"Hungary","1991","88314.6198239993"
"Hungary","1990","94786.9684026939"
"Iceland","2019","4722.34885835338"
"Iceland","2018","4822.18818592117"
"Iceland","2017","4795.41550040228"
"Iceland","2016","4716.6220887876"
"Iceland","2015","4763.9910561573"
"Iceland","2014","4685.66137061136"
"Iceland","2013","4654.38754673755"
"Iceland","2012","4657.36385383695"
"Iceland","2011","4647.05791061188"
"Iceland","2010","4866.26592869673"
"Iceland","2009","4966.27761712183"
"Iceland","2008","5299.94082423432"
"Iceland","2007","4901.09753101482"
"Iceland","2006","4606.47609062127"
"Iceland","2005","4022.908458471"
"Iceland","2004","4174.59535136004"
"Iceland","2003","4073.43196635366"
"Iceland","2002","4113.31609003095"
"Iceland","2001","4018.74340385423"
"Iceland","2000","4126.79684561669"
"Iceland","1999","4105.31479946835"
"Iceland","1998","3883.43631156161"
"Iceland","1997","3739.4027457891"
"Iceland","1996","3571.73653822392"
"Iceland","1995","3513.10881045421"
"Iceland","1994","3398.24118173153"
"Iceland","1993","3466.09890591714"
"Iceland","1992","3380.96765144156"
"Iceland","1991","3466.16561799892"
"Iceland","1990","3682.90360259309"
"Ireland","2019","59777.6396172161"
"Ireland","2018","62526.0139696782"
"Ireland","2017","62114.8608820183"
"Ireland","2016","62475.1373324772"
"Ireland","2015","60431.9530413558"
"Ireland","2014","58062.5677606555"
"Ireland","2013","58570.5832639813"
"Ireland","2012","58785.1361508092"
"Ireland","2011","57793.5835991878"
"Ireland","2010","61949.4142923412"
"Ireland","2009","62356.3744298982"
"Ireland","2008","68131.4571730702"
"Ireland","2007","68591.5682339947"
"Ireland","2006","69620.584043203"
"Ireland","2005","70264.3403112383"
"Ireland","2004","68384.5472258666"
"Ireland","2003","69032.7735879116"
"Ireland","2002","68623.0458342883"
"Ireland","2001","70487.2049694311"
"Ireland","2000","68458.7098699334"
"Ireland","1999","66202.8675332747"
"Ireland","1998","64942.4650174237"
"Ireland","1997","62361.1532825199"
"Ireland","1996","60904.7679304025"
"Ireland","1995","58740.8801811121"
"Ireland","1994","57215.0583231795"
"Ireland","1993","55739.9462384579"
"Ireland","1992","55196.5307869923"
"Ireland","1991","55210.2655921306"
"Ireland","1990","54400.3162456995"
"Italy","2019","418280.596100803"
"Italy","2018","428549.346346964"
"Italy","2017","432713.735662396"
"Italy","2016","437696.091364296"
"Italy","2015","440436.701173026"
"Italy","2014","427930.41182807"
"Italy","2013","449178.934911822"
"Italy","2012","484218.016509368"
"Italy","2011","503645.262043874"
"Italy","2010","516473.732558605"
"Italy","2009","505218.988815355"
"Italy","2008","560119.141869243"
"Italy","2007","573010.141879967"
"Italy","2006","578514.650614673"
"Italy","2005","589071.610456571"
"Italy","2004","587933.316981212"
"Italy","2003","582409.713405929"
"Italy","2002","563138.014034321"
"Italy","2001","557199.401153169"
"Italy","2000","555466.294841643"
"Italy","1999","551759.949193929"
"Italy","1998","546488.844878593"
"Italy","1997","534061.586054289"
"Italy","1996","526379.218761723"
"Italy","1995","532004.114043183"
"Italy","1994","505633.36675619"
"Italy","1993","511619.709392314"
"Italy","1992","518700.844716759"
"Italy","1991","519790.52944819"
"Italy","1990","518720.441885399"
"Japan","2019","1209493.35418548"
"Japan","2018","1245020.88697712"
"Japan","2017","1288528.71912481"
"Japan","2016","1301855.89190239"
"Japan","2015","1318516.69693598"
"Japan","2014","1356588.53690717"
"Japan","2013","1405888.60518791"
"Japan","2012","1394043.99307743"
"Japan","2011","1351251.65499419"
"Japan","2010","1300451.71302843"
"Japan","2009","1247100.64408536"
"Japan","2008","1319257.63722621"
"Japan","2007","1391882.92964472"
"Japan","2006","1356610.44023733"
"Japan","2005","1377912.87341269"
"Japan","2004","1370202.42609118"
"Japan","2003","1378772.4391761"
"Japan","2002","1372028.54778409"
"Japan","2001","1348108.69082713"
"Japan","2000","1373754.86528205"
"Japan","1999","1353959.95204875"
"Japan","1998","1330542.77094985"
"Japan","1997","1378930.07940314"
"Japan","1996","1386211.80966199"
"Japan","1995","1373757.62918085"
"Japan","1994","1352190.74920431"
"Japan","1993","1291284.86833838"
"Japan","1992","1295604.14662256"
"Japan","1991","1283386.63518544"
"Japan","1990","1269015.30288078"
"Latvia","2019","11132.1349150334"
"Latvia","2018","11260.7170750173"
"Latvia","2017","10757.1360435154"
"Latvia","2016","10716.5267709958"
"Latvia","2015","10724.8591458306"
"Latvia","2014","10671.0112657031"
"Latvia","2013","10763.4112333243"
"Latvia","2012","10851.3589527741"
"Latvia","2011","11029.888412144"
"Latvia","2010","11820.1180026967"
"Latvia","2009","10730.9181182504"
"Latvia","2008","11416.3413893659"
"Latvia","2007","11863.2601531992"
"Latvia","2006","11414.9108751073"
"Latvia","2005","10934.3595002176"
"Latvia","2004","10759.8622829631"
"Latvia","2003","10791.9036953686"
"Latvia","2002","10617.1335171454"
"Latvia","2001","10646.481741058"
"Latvia","2000","10059.4888656759"
"Latvia","1999","10674.1399932639"
"Latvia","1998","11450.5463293032"
"Latvia","1997","11948.9587831256"
"Latvia","1996","12502.5937621537"
"Latvia","1995","12447.9489856577"
"Latvia","1994","13831.34656038"
"Latvia","1993","15782.9628178461"
"Latvia","1992","19200.106576997"
"Latvia","1991","23972.1252650691"
"Latvia","1990","25868.1981657882"
"Liechtenstein","2019","187.108822505491"
"Liechtenstein","2018","180.692781716419"
"Liechtenstein","2017","193.031809874935"
"Liechtenstein","2016","187.524115575041"
"Liechtenstein","2015","198.044991252438"
"Liechtenstein","2014","199.69707145806"
"Liechtenstein","2013","230.724227289186"
"Liechtenstein","2012","224.500613536203"
"Liechtenstein","2011","215.324908616028"
"Liechtenstein","2010","228.155381966202"
"Liechtenstein","2009","243.109814105729"
"Liechtenstein","2008","257.854092640475"
"Liechtenstein","2007","238.091811864878"
"Liechtenstein","2006","267.284291713313"
"Liechtenstein","2005","263.688031599004"
"Liechtenstein","2004","263.287927836558"
"Liechtenstein","2003","263.074368976152"
"Liechtenstein","2002","252.949543803467"
"Liechtenstein","2001","246.622156783997"
"Liechtenstein","2000","247.048598776858"
"Liechtenstein","1999","256.428498645133"
"Liechtenstein","1998","259.425129072965"
"Liechtenstein","1997","248.466443500921"
"Liechtenstein","1996","235.901493135689"
"Liechtenstein","1995","233.588338779847"
"Liechtenstein","1994","229.771012577172"
"Liechtenstein","1993","243.402496088724"
"Liechtenstein","1992","236.268194044096"
"Liechtenstein","1991","236.056372709645"
"Liechtenstein","1990","228.509092529331"
"Lithuania","2019","20367.847537002"
"Lithuania","2018","20150.0991097013"
"Lithuania","2017","20518.8766032769"
"Lithuania","2016","20311.8317234934"
"Lithuania","2015","20283.0349796088"
"Lithuania","2014","19986.6928884761"
"Lithuania","2013","20023.9958432571"
"Lithuania","2012","21261.460086629"
"Lithuania","2011","21338.6561092457"
"Lithuania","2010","20742.3636442141"
"Lithuania","2009","19902.2288171906"
"Lithuania","2008","24192.3392482136"
"Lithuania","2007","25170.9213611012"
"Lithuania","2006","22990.5827315111"
"Lithuania","2005","22700.1210622327"
"Lithuania","2004","21593.7731949746"
"Lithuania","2003","20776.2444679977"
"Lithuania","2002","20608.070415555"
"Lithuania","2001","20228.9529171615"
"Lithuania","2000","19425.8412418122"
"Lithuania","1999","20968.0700290156"
"Lithuania","1998","23780.9964969377"
"Lithuania","1997","22815.5633981537"
"Lithuania","1996","23248.7810615024"
"Lithuania","1995","22201.5959191446"
"Lithuania","1994","23187.1367580252"
"Lithuania","1993","24550.9291743322"
"Lithuania","1992","30616.9237506683"
"Lithuania","1991","49786.0689378562"
"Lithuania","1990","47792.2917384135"
"Luxembourg","2019","10742.7971747522"
"Luxembourg","2018","10565.2268018845"
"Luxembourg","2017","10266.9819853157"
"Luxembourg","2016","10082.8972067115"
"Luxembourg","2015","10324.4313365114"
"Luxembourg","2014","10807.2550405863"
"Luxembourg","2013","11270.395081882"
"Luxembourg","2012","11807.4386780701"
"Luxembourg","2011","12052.770676379"
"Luxembourg","2010","12176.4190727875"
"Luxembourg","2009","11596.3965619469"
"Luxembourg","2008","12141.3501003428"
"Luxembourg","2007","12253.911917173"
"Luxembourg","2006","12836.6649673482"
"Luxembourg","2005","13005.0530794895"
"Luxembourg","2004","12765.1516531556"
"Luxembourg","2003","11373.2860315978"
"Luxembourg","2002","10928.7618625022"
"Luxembourg","2001","10151.6815230322"
"Luxembourg","2000","9658.18303705156"
"Luxembourg","1999","9079.65580759211"
"Luxembourg","1998","8614.77518381468"
"Luxembourg","1997","9495.63174397614"
"Luxembourg","1996","10148.6002695573"
"Luxembourg","1995","10084.079469929"
"Luxembourg","1994","12458.1249473782"
"Luxembourg","1993","13286.2155814822"
"Luxembourg","1992","13134.7321168289"
"Luxembourg","1991","13371.0385004664"
"Luxembourg","1990","12727.382351988"
"Malta","2019","2174.71818411439"
"Malta","2018","2041.16870515502"
"Malta","2017","2060.88019091788"
"Malta","2016","1902.48032737823"
"Malta","2015","2220.081164899"
"Malta","2014","2905.18626498192"
"Malta","2013","2871.59886899489"
"Malta","2012","3181.48286864543"
"Malta","2011","2972.0390029743"
"Malta","2010","2968.45907551258"
"Malta","2009","2892.10551800447"
"Malta","2008","3076.78806371174"
"Malta","2007","3136.82982769938"
"Malta","2006","3040.32852034391"
"Malta","2005","2985.09997122819"
"Malta","2004","3161.12096798872"
"Malta","2003","3271.00371867134"
"Malta","2002","2990.68437288743"
"Malta","2001","2939.14752172252"
"Malta","2000","2813.22512061294"
"Malta","1999","2877.94767195818"
"Malta","1998","2790.40677468792"
"Malta","1997","2824.80430301371"
"Malta","1996","2809.37360065138"
"Malta","1995","2685.60699648818"
"Malta","1994","2889.40523394923"
"Malta","1993","3106.0087318315"
"Malta","1992","2519.74111319853"
"Malta","1991","2450.2517407519"
"Malta","1990","2595.5025707554"
"Monaco","2019","82.5391705718103"
"Monaco","2018","87.1331804593797"
"Monaco","2017","85.7636984338159"
"Monaco","2016","86.7071633804467"
"Monaco","2015","87.6979298149559"
"Monaco","2014","84.8894106613551"
"Monaco","2013","90.528318014454"
"Monaco","2012","87.5323633111883"
"Monaco","2011","85.5159816712371"
"Monaco","2010","87.9172737491664"
"Monaco","2009","91.0764173534435"
"Monaco","2008","93.0431333311485"
"Monaco","2007","92.5699879919845"
"Monaco","2006","92.6613155417266"
"Monaco","2005","98.1519960597186"
"Monaco","2004","100.358133435277"
"Monaco","2003","104.49159428407"
"Monaco","2002","107.182446259138"
"Monaco","2001","106.856455823752"
