Region/Country/Area,,Year,Series,Value,Footnotes,Source
4,Afghanistan,1985,Balance of Payments: Current account (millions of US dollars),-243,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
4,Afghanistan,2010,Balance of Payments: Current account (millions of US dollars),-578,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
4,Afghanistan,2015,Balance of Payments: Current account (millions of US dollars),-4193,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
4,Afghanistan,2018,Balance of Payments: Current account (millions of US dollars),-3897,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
4,Afghanistan,2019,Balance of Payments: Current account (millions of US dollars),-3792,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
4,Afghanistan,2020,Balance of Payments: Current account (millions of US dollars),-3137,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
4,Afghanistan,2010,Balance of Payments: Capital account (millions of US dollars),1897,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
4,Afghanistan,2015,Balance of Payments: Capital account (millions of US dollars),1318,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
4,Afghanistan,2018,Balance of Payments: Capital account (millions of US dollars),1314,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
4,Afghanistan,2019,Balance of Payments: Capital account (millions of US dollars),1194,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
4,Afghanistan,2020,Balance of Payments: Capital account (millions of US dollars),753,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
4,Afghanistan,1985,Balance of Payments: Financial account (millions of US dollars),-75,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
4,Afghanistan,2010,Balance of Payments: Financial account (millions of US dollars),1104,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
4,Afghanistan,2015,Balance of Payments: Financial account (millions of US dollars),-249,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
4,Afghanistan,2018,Balance of Payments: Financial account (millions of US dollars),518,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
4,Afghanistan,2019,Balance of Payments: Financial account (millions of US dollars),76,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
4,Afghanistan,2020,Balance of Payments: Financial account (millions of US dollars),624,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
8,Albania,1985,Balance of Payments: Current account (millions of US dollars),-36,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
8,Albania,1995,Balance of Payments: Current account (millions of US dollars),-12,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
8,Albania,2010,Balance of Payments: Current account (millions of US dollars),-1356,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
8,Albania,2015,Balance of Payments: Current account (millions of US dollars),-980,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
8,Albania,2018,Balance of Payments: Current account (millions of US dollars),-1010,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
8,Albania,2019,Balance of Payments: Current account (millions of US dollars),-1219,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
8,Albania,2020,Balance of Payments: Current account (millions of US dollars),-1318,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
8,Albania,1995,Balance of Payments: Capital account (millions of US dollars),389,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
8,Albania,2010,Balance of Payments: Capital account (millions of US dollars),113,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
8,Albania,2015,Balance of Payments: Capital account (millions of US dollars),139,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
8,Albania,2018,Balance of Payments: Capital account (millions of US dollars),122,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
8,Albania,2019,Balance of Payments: Capital account (millions of US dollars),85,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
8,Albania,2020,Balance of Payments: Capital account (millions of US dollars),166,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
8,Albania,1985,Balance of Payments: Financial account (millions of US dollars),-30,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
8,Albania,1995,Balance of Payments: Financial account (millions of US dollars),432,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
8,Albania,2010,Balance of Payments: Financial account (millions of US dollars),-797,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
8,Albania,2015,Balance of Payments: Financial account (millions of US dollars),-682,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
8,Albania,2018,Balance of Payments: Financial account (millions of US dollars),-915,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
8,Albania,2019,Balance of Payments: Financial account (millions of US dollars),-1019,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
8,Albania,2020,Balance of Payments: Financial account (millions of US dollars),-965,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
12,Algeria,1985,Balance of Payments: Current account (millions of US dollars),1015,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
12,Algeria,2010,Balance of Payments: Current account (millions of US dollars),12220,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
12,Algeria,2015,Balance of Payments: Current account (millions of US dollars),-27038,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
12,Algeria,2018,Balance of Payments: Current account (millions of US dollars),-16709,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
12,Algeria,2019,Balance of Payments: Current account (millions of US dollars),-17148,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
12,Algeria,2010,Balance of Payments: Capital account (millions of US dollars),4,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
12,Algeria,2015,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
12,Algeria,2018,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
12,Algeria,2019,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
12,Algeria,1985,Balance of Payments: Financial account (millions of US dollars),1141,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
12,Algeria,2010,Balance of Payments: Financial account (millions of US dollars),10921,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
12,Algeria,2015,Balance of Payments: Financial account (millions of US dollars),-27202,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
12,Algeria,2018,Balance of Payments: Financial account (millions of US dollars),-16844,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
12,Algeria,2019,Balance of Payments: Financial account (millions of US dollars),-17253,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
20,Andorra,2019,Balance of Payments: Current account (millions of US dollars),568,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
20,Andorra,2019,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
20,Andorra,2019,Balance of Payments: Financial account (millions of US dollars),570,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
24,Angola,1985,Balance of Payments: Current account (millions of US dollars),195,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
24,Angola,1995,Balance of Payments: Current account (millions of US dollars),-295,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
24,Angola,2010,Balance of Payments: Current account (millions of US dollars),7506,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
24,Angola,2015,Balance of Payments: Current account (millions of US dollars),-10273,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
24,Angola,2018,Balance of Payments: Current account (millions of US dollars),7403,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
24,Angola,2019,Balance of Payments: Current account (millions of US dollars),5137,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
24,Angola,2020,Balance of Payments: Current account (millions of US dollars),894,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
24,Angola,2010,Balance of Payments: Capital account (millions of US dollars),1,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
24,Angola,2015,Balance of Payments: Capital account (millions of US dollars),6,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
24,Angola,2018,Balance of Payments: Capital account (millions of US dollars),3,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
