Region/Country/Area,,Year,Series,National currency,National currency footnote,Value,Footnotes,Source
170,Colombia,2018,Exchange rates: period average (national currency per US dollar),,,2955.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
170,Colombia,2019,Exchange rates: period average (national currency per US dollar),,,3280.8,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
170,Colombia,2020,Exchange rates: period average (national currency per US dollar),,,3694.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
174,Comoros,1995,Exchange rates: end of period (national currency per US dollar),Comorian Franc (KMF),,367.5,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
174,Comoros,2005,Exchange rates: end of period (national currency per US dollar),Comorian Franc (KMF),,417,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
174,Comoros,2010,Exchange rates: end of period (national currency per US dollar),Comorian Franc (KMF),,368.2,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
174,Comoros,2015,Exchange rates: end of period (national currency per US dollar),Comorian Franc (KMF),,451.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
174,Comoros,2017,Exchange rates: end of period (national currency per US dollar),Comorian Franc (KMF),,410.2,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
174,Comoros,2018,Exchange rates: end of period (national currency per US dollar),Comorian Franc (KMF),,429.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
174,Comoros,2019,Exchange rates: end of period (national currency per US dollar),Comorian Franc (KMF),,437.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
174,Comoros,2020,Exchange rates: end of period (national currency per US dollar),Comorian Franc (KMF),,400.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
174,Comoros,1995,Exchange rates: period average (national currency per US dollar),,,374.4,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
174,Comoros,2005,Exchange rates: period average (national currency per US dollar),,,395.4,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
174,Comoros,2010,Exchange rates: period average (national currency per US dollar),,,371.1,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
174,Comoros,2015,Exchange rates: period average (national currency per US dollar),,,443.4,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
174,Comoros,2017,Exchange rates: period average (national currency per US dollar),,,435.5,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
174,Comoros,2018,Exchange rates: period average (national currency per US dollar),,,416.6,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
174,Comoros,2019,Exchange rates: period average (national currency per US dollar),,,439.5,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
174,Comoros,2020,Exchange rates: period average (national currency per US dollar),,,430.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
178,Congo,1995,Exchange rates: end of period (national currency per US dollar),"CFA Franc, BEAC (XAF)","African Financial Community (CFA) Franc, Bank of Central African States (BEAC).",490,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
178,Congo,2005,Exchange rates: end of period (national currency per US dollar),"CFA Franc, BEAC (XAF)","African Financial Community (CFA) Franc, Bank of Central African States (BEAC).",556,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
178,Congo,2010,Exchange rates: end of period (national currency per US dollar),"CFA Franc, BEAC (XAF)","African Financial Community (CFA) Franc, Bank of Central African States (BEAC).",490.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
178,Congo,2015,Exchange rates: end of period (national currency per US dollar),"CFA Franc, BEAC (XAF)","African Financial Community (CFA) Franc, Bank of Central African States (BEAC).",602.5,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
178,Congo,2017,Exchange rates: end of period (national currency per US dollar),"CFA Franc, BEAC (XAF)","African Financial Community (CFA) Franc, Bank of Central African States (BEAC).",547,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
178,Congo,2018,Exchange rates: end of period (national currency per US dollar),"CFA Franc, BEAC (XAF)","African Financial Community (CFA) Franc, Bank of Central African States (BEAC).",572.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
178,Congo,2019,Exchange rates: end of period (national currency per US dollar),"CFA Franc, BEAC (XAF)","African Financial Community (CFA) Franc, Bank of Central African States (BEAC).",583.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
178,Congo,2020,Exchange rates: end of period (national currency per US dollar),"CFA Franc, BEAC (XAF)","African Financial Community (CFA) Franc, Bank of Central African States (BEAC).",534.6,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
178,Congo,1995,Exchange rates: period average (national currency per US dollar),,,499.2,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
178,Congo,2005,Exchange rates: period average (national currency per US dollar),,,527.3,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
178,Congo,2010,Exchange rates: period average (national currency per US dollar),,,494.8,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
178,Congo,2015,Exchange rates: period average (national currency per US dollar),,,591.2,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
178,Congo,2017,Exchange rates: period average (national currency per US dollar),,,580.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
178,Congo,2018,Exchange rates: period average (national currency per US dollar),,,555.5,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
178,Congo,2019,Exchange rates: period average (national currency per US dollar),,,585.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
178,Congo,2020,Exchange rates: period average (national currency per US dollar),,,575.6,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
184,Cook Islands,1995,Exchange rates: end of period (national currency per US dollar),New Zealand Dollar (NZD),,1.5,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
184,Cook Islands,2005,Exchange rates: end of period (national currency per US dollar),New Zealand Dollar (NZD),,1.5,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
184,Cook Islands,2010,Exchange rates: end of period (national currency per US dollar),New Zealand Dollar (NZD),,1.3,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
184,Cook Islands,2015,Exchange rates: end of period (national currency per US dollar),New Zealand Dollar (NZD),,1.5,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
184,Cook Islands,2017,Exchange rates: end of period (national currency per US dollar),New Zealand Dollar (NZD),,1.4,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
184,Cook Islands,2018,Exchange rates: end of period (national currency per US dollar),New Zealand Dollar (NZD),,1.5,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
184,Cook Islands,2019,Exchange rates: end of period (national currency per US dollar),New Zealand Dollar (NZD),,1.5,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
184,Cook Islands,2020,Exchange rates: end of period (national currency per US dollar),New Zealand Dollar (NZD),,1.4,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
184,Cook Islands,1995,Exchange rates: period average (national currency per US dollar),,,1.5,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
184,Cook Islands,2005,Exchange rates: period average (national currency per US dollar),,,1.4,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
184,Cook Islands,2010,Exchange rates: period average (national currency per US dollar),,,1.4,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
184,Cook Islands,2015,Exchange rates: period average (national currency per US dollar),,,1.4,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
184,Cook Islands,2017,Exchange rates: period average (national currency per US dollar),,,1.4,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
184,Cook Islands,2018,Exchange rates: period average (national currency per US dollar),,,1.5,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
184,Cook Islands,2019,Exchange rates: period average (national currency per US dollar),,,1.5,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
184,Cook Islands,2020,Exchange rates: period average (national currency per US dollar),,,1.5,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
188,Costa Rica,1995,Exchange rates: end of period (national currency per US dollar),Costa Rican Colon (CRC),,194.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
188,Costa Rica,2005,Exchange rates: end of period (national currency per US dollar),Costa Rican Colon (CRC),,496.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
188,Costa Rica,2010,Exchange rates: end of period (national currency per US dollar),Costa Rican Colon (CRC),,513,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
188,Costa Rica,2015,Exchange rates: end of period (national currency per US dollar),Costa Rican Colon (CRC),,538.4,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
188,Costa Rica,2017,Exchange rates: end of period (national currency per US dollar),Costa Rican Colon (CRC),,569.5,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
188,Costa Rica,2018,Exchange rates: end of period (national currency per US dollar),Costa Rican Colon (CRC),,608.1,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
188,Costa Rica,2019,Exchange rates: end of period (national currency per US dollar),Costa Rican Colon (CRC),,573.3,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
188,Costa Rica,2020,Exchange rates: end of period (national currency per US dollar),Costa Rican Colon (CRC),,613.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
188,Costa Rica,1995,Exchange rates: period average (national currency per US dollar),,,179.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
188,Costa Rica,2005,Exchange rates: period average (national currency per US dollar),,,477.8,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
188,Costa Rica,2010,Exchange rates: period average (national currency per US dollar),,,525.8,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
188,Costa Rica,2015,Exchange rates: period average (national currency per US dollar),,,534.6,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
188,Costa Rica,2017,Exchange rates: period average (national currency per US dollar),,,567.5,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
188,Costa Rica,2018,Exchange rates: period average (national currency per US dollar),,,577,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
188,Costa Rica,2019,Exchange rates: period average (national currency per US dollar),,,587.3,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
188,Costa Rica,2020,Exchange rates: period average (national currency per US dollar),,,584.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
384,C�te d�Ivoire,1995,Exchange rates: end of period (national currency per US dollar),"CFA Franc, BCEAO (XOF)","African Financial Community (CFA) Franc, Central Bank of West African States (BCEAO).",490,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
384,C�te d�Ivoire,2005,Exchange rates: end of period (national currency per US dollar),"CFA Franc, BCEAO (XOF)","African Financial Community (CFA) Franc, Central Bank of West African States (BCEAO).",556,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
384,C�te d�Ivoire,2010,Exchange rates: end of period (national currency per US dollar),"CFA Franc, BCEAO (XOF)","African Financial Community (CFA) Franc, Central Bank of West African States (BCEAO).",490.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
384,C�te d�Ivoire,2015,Exchange rates: end of period (national currency per US dollar),"CFA Franc, BCEAO (XOF)","African Financial Community (CFA) Franc, Central Bank of West African States (BCEAO).",602.5,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
384,C�te d�Ivoire,2017,Exchange rates: end of period (national currency per US dollar),"CFA Franc, BCEAO (XOF)","African Financial Community (CFA) Franc, Central Bank of West African States (BCEAO).",547,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
384,C�te d�Ivoire,2018,Exchange rates: end of period (national currency per US dollar),"CFA Franc, BCEAO (XOF)","African Financial Community (CFA) Franc, Central Bank of West African States (BCEAO).",572.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
384,C�te d�Ivoire,2019,Exchange rates: end of period (national currency per US dollar),"CFA Franc, BCEAO (XOF)","African Financial Community (CFA) Franc, Central Bank of West African States (BCEAO).",583.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
384,C�te d�Ivoire,2020,Exchange rates: end of period (national currency per US dollar),"CFA Franc, BCEAO (XOF)","African Financial Community (CFA) Franc, Central Bank of West African States (BCEAO).",534.6,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
384,C�te d�Ivoire,1995,Exchange rates: period average (national currency per US dollar),,,499.2,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
384,C�te d�Ivoire,2005,Exchange rates: period average (national currency per US dollar),,,527.3,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
384,C�te d�Ivoire,2010,Exchange rates: period average (national currency per US dollar),,,494.8,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
384,C�te d�Ivoire,2015,Exchange rates: period average (national currency per US dollar),,,591.2,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
384,C�te d�Ivoire,2017,Exchange rates: period average (national currency per US dollar),,,580.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
384,C�te d�Ivoire,2018,Exchange rates: period average (national currency per US dollar),,,555.5,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
384,C�te d�Ivoire,2019,Exchange rates: period average (national currency per US dollar),,,585.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
384,C�te d�Ivoire,2020,Exchange rates: period average (national currency per US dollar),,,575.6,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
191,Croatia,1995,Exchange rates: end of period (national currency per US dollar),Kuna (HRK),,5.3,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
191,Croatia,2005,Exchange rates: end of period (national currency per US dollar),Kuna (HRK),,6.2,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
191,Croatia,2010,Exchange rates: end of period (national currency per US dollar),Kuna (HRK),,5.6,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
191,Croatia,2015,Exchange rates: end of period (national currency per US dollar),Kuna (HRK),,7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
191,Croatia,2017,Exchange rates: end of period (national currency per US dollar),Kuna (HRK),,6.3,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
191,Croatia,2018,Exchange rates: end of period (national currency per US dollar),Kuna (HRK),,6.5,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
191,Croatia,2019,Exchange rates: end of period (national currency per US dollar),Kuna (HRK),,6.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
191,Croatia,2020,Exchange rates: end of period (national currency per US dollar),Kuna (HRK),,6.1,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
191,Croatia,1995,Exchange rates: period average (national currency per US dollar),,,5.2,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
191,Croatia,2005,Exchange rates: period average (national currency per US dollar),,,6,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
191,Croatia,2010,Exchange rates: period average (national currency per US dollar),,,5.5,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
191,Croatia,2015,Exchange rates: period average (national currency per US dollar),,,6.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
191,Croatia,2017,Exchange rates: period average (national currency per US dollar),,,6.6,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
191,Croatia,2018,Exchange rates: period average (national currency per US dollar),,,6.3,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
191,Croatia,2019,Exchange rates: period average (national currency per US dollar),,,6.6,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
191,Croatia,2020,Exchange rates: period average (national currency per US dollar),,,6.6,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
192,Cuba,1995,Exchange rates: end of period (national currency per US dollar),Cuban Peso (CUP),The national currency of Cuba is the Cuban Peso (CUP). The convertible peso (CUC) is used by foreigners and tourists in Cuba.,1,UN operational exchange rate.,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
192,Cuba,2005,Exchange rates: end of period (national currency per US dollar),Cuban Peso (CUP),The national currency of Cuba is the Cuban Peso (CUP). The convertible peso (CUC) is used by foreigners and tourists in Cuba.,1,UN operational exchange rate.,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
192,Cuba,2010,Exchange rates: end of period (national currency per US dollar),Cuban Peso (CUP),The national currency of Cuba is the Cuban Peso (CUP). The convertible peso (CUC) is used by foreigners and tourists in Cuba.,1,UN operational exchange rate.,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
192,Cuba,2015,Exchange rates: end of period (national currency per US dollar),Cuban Peso (CUP),The national currency of Cuba is the Cuban Peso (CUP). The convertible peso (CUC) is used by foreigners and tourists in Cuba.,1,UN operational exchange rate.,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
192,Cuba,2017,Exchange rates: end of period (national currency per US dollar),Cuban Peso (CUP),The national currency of Cuba is the Cuban Peso (CUP). The convertible peso (CUC) is used by foreigners and tourists in Cuba.,1,UN operational exchange rate.,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
192,Cuba,2018,Exchange rates: end of period (national currency per US dollar),Cuban Peso (CUP),The national currency of Cuba is the Cuban Peso (CUP). The convertible peso (CUC) is used by foreigners and tourists in Cuba.,1,UN operational exchange rate.,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
192,Cuba,2019,Exchange rates: end of period (national currency per US dollar),Cuban Peso (CUP),The national currency of Cuba is the Cuban Peso (CUP). The convertible peso (CUC) is used by foreigners and tourists in Cuba.,1,UN operational exchange rate.,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
192,Cuba,2020,Exchange rates: end of period (national currency per US dollar),Cuban Peso (CUP),The national currency of Cuba is the Cuban Peso (CUP). The convertible peso (CUC) is used by foreigners and tourists in Cuba.,1,UN operational exchange rate.,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
531,Cura�ao,2010,Exchange rates: end of period (national currency per US dollar),Neth. Ant. Guilder (ANG),Netherlands Antillean Guilder.,1.8,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
531,Cura�ao,2015,Exchange rates: end of period (national currency per US dollar),Neth. Ant. Guilder (ANG),Netherlands Antillean Guilder.,1.8,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
531,Cura�ao,2017,Exchange rates: end of period (national currency per US dollar),Neth. Ant. Guilder (ANG),Netherlands Antillean Guilder.,1.8,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
531,Cura�ao,2018,Exchange rates: end of period (national currency per US dollar),Neth. Ant. Guilder (ANG),Netherlands Antillean Guilder.,1.8,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
531,Cura�ao,2019,Exchange rates: end of period (national currency per US dollar),Neth. Ant. Guilder (ANG),Netherlands Antillean Guilder.,1.8,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
531,Cura�ao,2020,Exchange rates: end of period (national currency per US dollar),Neth. Ant. Guilder (ANG),Netherlands Antillean Guilder.,1.8,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
531,Cura�ao,2015,Exchange rates: period average (national currency per US dollar),,,1.8,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
531,Cura�ao,2017,Exchange rates: period average (national currency per US dollar),,,1.8,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
531,Cura�ao,2018,Exchange rates: period average (national currency per US dollar),,,1.8,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
531,Cura�ao,2019,Exchange rates: period average (national currency per US dollar),,,1.8,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
